image_src,description,course_identification,course_title,course_level,first_category,second_category,skill_tag,seq0_instructor_id,seq0_instructor_name,student_count,star_rate,review_count,is_new_course,reg_price,reg_vat_price,selling_price,is_discount,discount_id,discount_title,discount_rate,course_last_updated_date,course_published_date,installment_price,installment_month
https://cdn.inflearn.com/public/courses/324229/course_cover/146a253b-c106-4999-8606-d72820a90908/%E1%84%8C%E1%85%A9%E1%84%8F%E1%85%A9%E1%84%83%E1%85%B5%E1%86%BC.png?w=420,"누구나 배울 수 있는 쉬운 코딩을 만들겠습니다.
코딩이 무엇인지 이해하고 라이브러리, API 등 최대한 외부 자원을 활용하여 서비스 가능한 웹과 앱을 제작하는 것이 목표입니다.",324229,"코알못도 누구나 쉽게 따라하는 웹, 앱 만들기 (기초부터 실전 활용까지)",입문,개발 · 프로그래밍,"웹 개발,프론트엔드",웹앱,181806,조코딩,3331,4.818181818,77,FALSE,0,0,0,FALSE,,,,2019-09-23T00:00:00.000Z,2019-09-15T15:00:00.000Z,,
https://cdn.inflearn.com/public/courses/324207/course_cover/1a79c7dc-1624-4d3a-95ff-79ba1e9c4025/python_machine_learning.png?w=420,보스톤 마라톤 빅 데이터를 기반으로 파이썬과 텐서플로2를 이용하여 다양하고 유용한 머신러닝 회귀(Regression)와 분류(Classification) 프로젝트를 이론과 함께 배우는 머신러닝 종합 프로젝트 과정입니다.,324207,[텐서플로2] 파이썬 머신러닝 완전정복 - 마라톤 기록예측 프로젝트,중급이상,"데이터 사이언스,인공지능","데이터 분석,컴퓨터 비전,딥러닝 · 머신러닝","Tensorflow,머신러닝,Keras,컴퓨터 비전",100332,노마드크리에이터,351,4.12,25,FALSE,30000,33000,33000,FALSE,,,,2020-05-07T00:00:00.000Z,2019-08-31T15:00:00.000Z,,
https://cdn.inflearn.com/public/courses/324186/course_cover/8210c08d-1b3e-44e2-842a-53abad9007b4/sjh_DataVisualization.png?w=420,이 강좌를 통해 데이터 시각화에 대한 개념을 이해하고 차트의 핵심용도 5가지와 핵심 차트 10가지를 배워서 데이터 분석 프로젝트에 적절하게 활용할 수 있습니다.,324186,데이터 시각화와 차트분석 기법,입문,데이터 사이언스,데이터 분석,디지털 마케팅,100332,노마드크리에이터,3565,4.479166667,48,FALSE,0,0,0,FALSE,,,,2019-08-22T00:00:00.000Z,2019-08-20T15:00:00.000Z,,
https://cdn.inflearn.com/public/courses/324168/course_cover/bfc7ab70-6fed-4035-9f64-3626577fbe49/python_thubnail.png?w=420,"딥러닝, 사물인터넷 등 실전 프로젝트를 수행하기 위해 파이썬 프로그래밍 실전 능력을 키우고자 하는 강의입니다. 바쁜 여러 분들의 시간을 절약하고 반복해서 핵심 내용을 익히도록 100분에 모든 것을 담았습니다.",324168,파이썬 100분 핵심강의,입문,개발 · 프로그래밍,프로그래밍 언어,Python,100332,노마드크리에이터,204,4.058823529,17,FALSE,20000,22000,22000,FALSE,,,,2019-11-17T00:00:00.000Z,2019-08-04T15:00:00.000Z,,
https://cdn.inflearn.com/public/courses/324151/course_cover/56341482-a56d-4bca-879f-34d7d2215315/kks_html%29css.png?w=420,"자기 자신을 소개하는 심플한 포트폴리오를 만들어보면서 
HTML 태그로 구조를 만드는 방법과 CSS 속성으로 웹 페이지를 꾸미는 방법을 배워봅니다.",324151,만들면서 배우는 HTML/CSS,초급,개발 · 프로그래밍,"웹 개발,웹 퍼블리싱",HTML/CSS,31411,수코딩,3682,4.848684211,152,FALSE,0,0,0,FALSE,,,,2019-08-01T00:00:00.000Z,2019-07-31T15:00:00.000Z,,
https://cdn.inflearn.com/public/courses/324075/course_cover/261cc46e-1582-402d-b20c-7e4fdf7d5f57/sdh_vue.png?w=420,"타입스크립트를 이용해서 한단계 업그레이드 된 Vue 어플리케이션을 개발할 수 있도록 도움을 주는 강좌입니다. 
Vue.js 기초 강좌와 ES6 또는 타입스크립트 입문자이신 개발자 분들께 이 강좌를 추천드립니다.",324075,Typescript with Vue 실전 프로젝트,중급이상,개발 · 프로그래밍,"프론트엔드,웹 개발",Vue.js,171918,성도희,553,4.515151515,33,FALSE,15000,16500,16500,FALSE,,,,2019-06-04T00:00:00.000Z,2019-06-03T15:00:00.000Z,,
https://cdn.inflearn.com/public/courses/324061/course_cover/ebdc9143-bf06-469a-aa14-07a19a9c2831/inflearn-cover.jpg?w=420,이 강좌를 통해 프로그래밍 언어에 대한 이해와 Swift언어의 문법을 이해할 수 있습니다.,324061,[애플 공식 교재] 스위프트 퍼즐 1,입문,개발 · 프로그래밍,프로그래밍 언어,Swift,169756,코더스하이,818,5,7,FALSE,0,0,0,FALSE,,,,2019-05-31T00:00:00.000Z,2019-05-30T15:00:00.000Z,,
https://cdn.inflearn.com/public/courses/324046/course_cover/f22ad076-c7b5-4706-ae65-fa68c16f29e6/bdh_TDDreact.png?w=420,"간단한 ReactNative 앱을 TDD 방법론을 통해 개발하면서 TDD 의 개념을 확실히 익히고, ReactNative 모바일 앱 개발에 적용할 수 있도록 연습합니다.",324046,TDD 개발 방법론을 활용한 React Native 앱 개발,초급,개발 · 프로그래밍,"모바일 앱 개발,소프트웨어 테스트","JavaScript,React,React Native,TDD,소프트웨어 테스트",8252,박동호,464,4.137254902,51,FALSE,27000,29700,29700,FALSE,,,,2019-05-23T00:00:00.000Z,2019-05-22T15:00:00.000Z,,
https://cdn.inflearn.com/wp-content/uploads/sjh_IoT2.jpg?w=420,이 강의에서는 라즈베리 파이와 파이썬에 대한 기초지식을 배우고 간단하지만 핵심적인 자율주행차와 원격 홈모니터링 프로젝트를 만드는 실습할 것입니다.,293650,파이썬 라즈베리파이 IoT프로젝트-원격모니터링 자동차,초급,"하드웨어,개발 · 프로그래밍","임베디드 · IoT,프로그래밍 언어,모빌리티","Python,Linux,Raspberry Pi,IoT",100332,노마드크리에이터,274,4.411764706,17,FALSE,30000,33000,33000,FALSE,,,,2019-02-25T05:17:28.000Z,2019-02-23T15:00:00.000Z,,
https://cdn.inflearn.com/wp-content/uploads/ethereum2_programmers-3.jpg?w=420,"이더리움과 솔리디티를 활용해서, 나의 첫 스마트 컨트랙트를 만들고 간단한 수준의 투표 dApp 을 만들어보는 강의입니다. ",262018,이더리움 & 솔리디티 기반의 투표 dApp 구현하기,초급,보안 · 네트워크,블록체인,"DApp,Ethereum,Solidity",141261,Mahesh,2706,4.512195122,41,FALSE,0,0,0,FALSE,,,,2019-01-15T10:44:36.000Z,2019-01-13T15:00:00.000Z,,
